Date,Open,High,Low,Close,Volume
2014-06-16,7.99,8.09,7.86,8.09,4395
2014-06-17,8.09,8.15,8.09,8.14,5172
2014-06-19,8.16,8.17,8.07,8.07,569
2014-06-20,8.03,8.16,7.91,8.02,5434
2014-06-23,8.05,8.14,8.01,8.01,2205
2014-06-24,8.02,8.08,7.98,8.07,850
2014-06-25,7.97,8.15,7.95,8.0,7512
2014-06-26,8.05,8.14,8.04,8.14,1100
2014-06-27,8.06,8.2,7.95,8.2,8143
2014-06-30,8.06,8.14,7.96,7.99,6161
2014-07-01,8.03,8.14,7.85,8.02,10370
2014-07-02,8.02,8.02,7.89,8.0,2735
2014-07-03,7.91,7.99,7.9,7.99,1500
2014-07-07,7.89,8.0,7.89,7.99,2350
2014-07-08,7.9,8.0,7.9,7.95,1456
2014-07-09,7.93,7.93,7.93,7.93,179
2014-07-10,7.94,7.99,7.93,7.95,5067
2014-07-11,7.95,7.99,7.95,7.95,2141
2014-07-14,7.91,8.0,7.91,7.99,1689
2014-07-15,7.97,7.97,7.96,7.96,251
2014-07-16,7.95,8.0,7.95,7.95,7901
2014-07-17,7.78,7.99,7.78,7.95,5370
2014-07-18,7.99,8.04,7.92,8.04,5743
2014-07-21,7.96,8.02,7.96,7.96,4583
2014-07-22,7.95,7.95,7.78,7.81,13347
2014-07-23,7.84,7.93,7.81,7.81,5437
2014-07-24,7.82,7.86,7.81,7.84,4202
2014-07-25,7.76,7.88,7.76,7.78,5099
2014-07-28,7.77,7.8,7.64,7.68,4934
2014-07-29,7.61,7.9,7.31,7.73,17359
2014-07-30,7.65,7.75,7.47,7.65,4140
2014-07-31,7.64,7.66,7.47,7.66,901
2014-08-01,7.49,7.64,7.47,7.64,7030
2014-08-04,7.6,7.74,7.6,7.69,8225
2014-08-05,7.33,7.66,7.33,7.62,3903
2014-08-06,7.68,7.72,7.62,7.72,8355
2014-08-07,7.7,7.72,7.63,7.63,5255
2014-08-08,7.63,7.74,7.58,7.6,5233
2014-08-11,7.39,7.6,7.39,7.58,1442
2014-08-12,7.64,7.65,7.5,7.5,3446
2014-08-13,7.49,7.57,7.35,7.4,12793
2014-08-14,7.47,7.73,7.47,7.64,6388
2014-08-15,7.63,7.63,7.42,7.42,9359
2014-08-18,7.73,7.75,7.42,7.5,6686
2014-08-19,7.72,7.72,7.44,7.51,3373
2014-08-20,7.45,7.7,7.41,7.65,8860
2014-08-21,7.49,7.67,7.49,7.67,2002
2014-08-22,7.63,7.68,7.56,7.61,1135
2014-08-25,7.7,7.76,7.52,7.6,4262
2014-08-26,7.78,7.78,7.57,7.58,5006
2014-08-27,7.45,7.6,7.45,7.47,4024
2014-08-28,7.52,7.62,7.43,7.51,4784
2014-08-29,7.46,7.69,7.46,7.51,761
2014-09-02,7.54,7.64,7.49,7.5,4197
2014-09-03,7.52,7.6,7.41,7.55,13092
2014-09-04,7.77,7.83,7.76,7.8,15447
2014-09-05,7.8,7.9,7.8,7.9,7612
2014-09-09,7.81,7.9,7.6,7.88,8021
2014-09-10,7.64,7.97,7.64,7.96,4274
2014-09-11,7.92,8.0,7.86,7.99,6134
2014-09-12,7.73,8.0,7.73,8.0,1608
2014-09-15,7.87,8.0,7.86,7.91,1070
2014-09-16,7.95,8.0,7.84,8.0,3795
2014-09-18,7.85,8.0,7.85,8.0,5221
2014-09-19,8.0,8.06,8.0,8.06,1508
2014-09-22,8.06,8.07,7.96,8.0,2313
2014-09-23,8.04,8.06,8.04,8.06,200
2014-09-24,8.07,8.07,7.95,8.04,1771
2014-09-25,8.05,8.05,8.0,8.03,2290
2014-09-26,8.03,8.03,8.0,8.0,2153
2014-09-29,8.0,8.1,8.0,8.05,2467
2014-09-30,8.21,8.21,8.06,8.1,867
2014-10-01,8.09,8.18,8.09,8.17,19072
2014-10-02,8.12,8.22,8.11,8.21,7192
2014-10-03,8.34,8.49,8.22,8.45,1300
2014-10-06,8.3,8.5,8.25,8.31,3933
2014-10-07,8.45,8.46,8.25,8.25,32858
2014-10-08,8.25,8.44,8.25,8.32,6437
2014-10-09,8.26,8.36,8.25,8.29,8848
2014-10-10,8.23,8.41,8.16,8.36,2492
2014-10-13,8.45,8.45,7.99,8.19,5863
2014-10-14,8.33,8.48,8.17,8.17,662
2014-10-15,8.17,8.17,8.0,8.09,1958
2014-10-16,8.14,8.17,7.94,8.17,3925
2014-10-17,8.18,8.19,7.99,8.19,3081
2014-10-20,8.03,8.14,7.94,7.94,6466
2014-10-21,8.15,8.15,7.99,8.01,2317
2014-10-22,8.16,8.2,7.8,7.8,7603
2014-10-23,7.9,7.9,7.58,7.7,8221
2014-10-24,7.58,7.96,7.54,7.86,4448
2014-10-27,7.94,7.96,7.83,7.89,2711
2014-10-28,7.86,7.99,7.84,7.93,6254
2014-10-29,7.84,7.84,7.78,7.8,14534
2014-10-30,7.8,8.0,7.61,8.0,6325
2014-10-31,8.0,8.25,7.92,8.25,9928
2014-11-03,8.25,8.29,8.2,8.2,1640
2014-11-04,8.19,8.25,8.02,8.02,2820
2014-11-05,8.21,8.25,8.0,8.01,6364
2014-11-06,8.05,8.13,8.01,8.11,2461
2014-11-07,8.13,8.22,7.94,8.22,3097
2014-11-10,8.14,8.2,7.97,8.04,5683
2014-11-11,8.08,8.2,8.04,8.18,3003
2014-11-12,8.12,8.13,7.93,8.04,7018
2014-11-13,8.17,8.17,7.77,7.95,8182
2014-11-14,7.95,8.2,7.95,8.1,4035
2014-11-17,7.76,8.16,7.76,8.0,7664
2014-11-18,8.07,8.16,8.0,8.1,10765
2014-11-19,8.05,8.12,7.83,7.91,5474
2014-11-20,7.97,8.1,7.97,8.0,643
2014-11-21,8.1,8.14,8.1,8.14,3141
2014-11-24,8.09,8.17,8.09,8.17,1725
2014-11-25,8.17,8.18,8.1,8.1,2570
2014-11-26,8.06,8.06,8.06,8.06,100
2014-11-28,7.94,8.18,7.94,8.01,2500
2014-12-01,8.05,8.25,8.01,8.25,27877
2014-12-03,8.15,8.15,8.03,8.15,3557
2014-12-04,8.05,8.15,8.0,8.01,2342
2014-12-05,8.15,8.15,8.05,8.15,2294
2014-12-08,8.23,8.25,8.05,8.07,6489
2014-12-09,8.07,8.26,8.06,8.21,15560
2014-12-10,8.13,8.22,7.96,7.96,32290
2014-12-11,8.0,8.0,7.9,7.9,20613
2014-12-12,7.9,7.9,7.9,7.9,371
2014-12-15,8.0,8.03,7.8,8.01,10755
2014-12-16,8.07,8.07,8.07,8.07,566
2014-12-17,7.82,8.09,7.82,8.01,3262
2014-12-18,8.09,8.09,8.01,8.01,2471
2014-12-19,8.01,8.01,8.0,8.01,1657
2014-12-22,8.01,8.02,8.0,8.0,3503
