Date,Open,High,Low,Close,Volume
2014-06-13,60.43,61.13,59.6,61.1,15789697
2014-06-16,60.93,61.6,60.49,61.47,12550419
2014-06-17,62.58,64.01,62.54,63.38,28999670
2014-06-18,63.38,64.4,62.89,64.1,18796344
2014-06-19,64.2,64.21,62.58,63.06,17341198
2014-06-20,63.03,63.27,62.14,62.88,13247787
2014-06-23,62.77,63.12,62.22,62.79,10691751
2014-06-24,62.58,64.28,62.21,62.34,20399071
2014-06-25,62.14,63.54,61.9,63.46,15763384
2014-06-26,62.97,63.16,62.39,62.8,14249025
2014-06-27,62.62,63.31,62.49,63.15,15589511
2014-06-30,63.27,63.84,62.81,62.94,10614002
2014-07-01,65.18,67.67,65.04,67.59,38039386
2014-07-02,67.64,67.98,66.58,66.68,17322207
2014-07-03,67.17,67.52,66.98,67.48,11359495
2014-07-07,67.44,67.46,65.71,65.8,18339230
2014-07-08,65.66,65.86,62.75,63.58,26200958
2014-07-09,63.74,64.19,62.82,63.29,21016002
2014-07-10,62.06,63.46,61.17,62.65,24397541
2014-07-11,63.07,63.45,62.45,62.85,14237132
2014-07-14,63.33,65.07,62.71,64.65,17439100
2014-07-15,64.38,64.48,63.18,64.16,13519471
2014-07-16,64.87,65.1,63.34,63.49,13452124
2014-07-17,63.33,64.12,62.61,62.77,13276389
2014-07-18,62.97,63.47,62.25,63.45,11772201
2014-07-21,64.53,65.36,63.95,64.56,34670965
2014-07-22,63.28,63.52,60.72,61.58,57177918
2014-07-23,61.49,62.2,60.93,61.13,17278065
2014-07-24,61.35,61.46,59.86,60.77,18638704
2014-07-25,60.71,61.17,60.06,60.27,11616017
2014-07-28,60.32,60.84,59.79,60.67,11960907
2014-07-29,60.46,61.2,60.46,60.61,9287369
2014-07-30,60.68,62.18,60.62,62.05,15306193
2014-07-31,61.47,61.85,60.18,60.39,13827009
2014-08-01,60.25,61.1,58.93,60.77,18949987
2014-08-04,61.03,61.43,60.11,60.39,10694607
2014-08-05,60.19,61.14,60.04,60.41,10665487
2014-08-06,60.14,62.13,60.08,61.47,15840573
2014-08-07,62.19,64.28,62.08,64.24,27334916
2014-08-08,64.31,64.42,63.15,63.69,15506120
2014-08-11,64.17,65.38,64.1,64.51,13253779
2014-08-12,64.48,64.71,63.34,63.77,10849524
2014-08-13,64.09,64.89,63.83,64.5,9063075
2014-08-14,64.6,65.0,64.03,64.41,6676369
2014-08-15,64.5,66.0,64.09,65.58,22053577
2014-08-18,66.01,67.07,65.89,66.57,13522061
2014-08-19,66.73,67.21,66.06,66.88,10907015
2014-08-20,66.71,67.68,66.36,67.46,12170830
2014-08-21,67.33,68.02,66.81,67.44,11753280
2014-08-22,67.28,68.51,67.15,68.46,13746516
2014-08-25,68.79,69.33,68.22,68.7,13503882
2014-08-26,68.36,68.84,67.79,68.48,10158379
2014-08-27,68.49,68.61,67.66,67.81,10394909
2014-08-28,67.52,68.21,67.26,67.89,7601867
2014-08-29,68.12,68.64,67.73,68.23,9839410
2014-09-02,68.36,68.4,67.8,68.09,8834532
2014-09-03,68.65,69.66,68.08,68.2,16227498
2014-09-04,68.44,68.81,67.45,67.52,11962335
2014-09-05,67.6,68.19,67.15,67.95,11953340
2014-09-08,67.77,68.66,67.74,68.48,7675514
2014-09-09,69.47,69.9,68.06,68.43,19755036
2014-09-10,68.6,69.25,68.15,69.2,9110731
2014-09-11,68.94,69.19,68.52,68.79,7869988
2014-09-12,69.09,69.27,68.02,68.08,13432153
2014-09-15,68.22,68.22,65.26,65.39,20616771
2014-09-16,64.06,65.45,63.66,65.27,26844013
2014-09-17,65.27,65.55,64.47,64.93,12135655
2014-09-18,65.35,65.91,64.76,65.57,10631341
2014-09-19,65.86,65.9,64.88,65.36,11962755
